Substance,LD50,Time
CCC=CCC1C(=O)CCC1CC(=O)O,-1412.7,2023-03-27 11:15:56.339796
CCC=CCC1C(=O)CCC1CC(=O)O,-1412.7,2023-03-27 10:56:14.049223
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,-3083.0000000000027,2023-03-27 10:52:47.760328
CCCCCCCCCCCCCCCCOC(C)=O,-5030.800000000007,2023-03-27 10:52:47.722563
C=CCCC(CCC(C)CCOC(C)=O)C(=C)C,-3514.400000000004,2023-03-27 10:52:47.706005
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(NC)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,-4604.500000000008,2023-03-27 10:52:47.654774
CNC(=O)C(=NOC)c1ccccc1Oc1ccccc1,-1575.4,2023-03-27 10:52:47.430960
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-5543.980000000005,2023-03-27 10:52:17.664699
Cc1nn(C)c(F)c1C(=O)Nc1ccccc1C(C)CC(C)C,-3269.520000000004,2023-03-27 10:52:17.613647
O=C1C=C(N(Cc2ccc(Cl)nc2)CC(F)F)CO1,-1242.8,2023-03-27 10:52:17.585932
CCCCC=CCCCCCCCCOC(C)=O,-4026.600000000005,2023-03-27 10:51:57.332977
CCC(C)c1ccccc1OC(=O)NC,-1918.3000000000004,2023-03-27 10:51:57.279212
COCCOC(=O)C(C#N)(C(=O)c1ccccc1C(F)(F)F)c1ccc(C(C)(C)C)cc1,-3836.780000000005,2023-03-27 10:51:57.222378
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,-4473.000000000002,2023-03-27 10:51:57.141379
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,-5679.980000000006,2023-03-27 10:50:48.745915
CCCC=CCCCCCCCO,-2675.600000000002,2023-03-27 10:50:48.665635
CC(O)(Cn1cncn1)c1ccc(Oc2ccc(Cl)cc2)cc1C(F)(F)F,-3650.3000000000025,2023-03-27 10:50:48.601981
